SIRUTA,Year,Core,Periurban,Village,Transilvania,Valachia,Moldavia,PopAdj,EmpPublic,EmpLocal,EmpForeign,EmpForeign_BusinessServices,EmpLocal_BusinessServices,EmpForeign_Manufacturing,EmpLocal_Manufacturing,EmpForeign_BusServ_Core,EmpForeign_BusServ_CoreofPeri,EmpForeign_BusServ_Periurban,EmpForeign_BusServ_Village,EmpLocal_BusServ_Core,EmpLocal_BusServ_CoreofPeri,EmpLocal_BusServ_Periurban,EmpLocal_BusServ_Village,EmpForeign_Man_Core,EmpForeign_Man_CoreofPeri,EmpForeign_Man_Periurban,EmpForeign_Man_Village,EmpLocal_Man_Core,EmpLocal_Man_CoreofPeri,EmpLocal_Man_Periurban,EmpLocal_Man_Village,Pop2011Offset,D_PIT_USDdef,D_Turnover_USDdef,LN_Pop2018_Pop2011,Locality Type,Longitude,Latitude
146904,2018,0,1,0,0,0,1,7531,0.021616948,0.056852572,0.000432339,0.005479452,0.019178082,0,0.397260274,0,0.004429445,0.005479452,0,0,0.091330943,0.019178082,0,0,0.096815018,0,0,0,0.168740772,0.397260274,0,8.901094122,-0.338246295,0.620501789,0.025688992,Periurban,26.20850754,47.41568095
146931,2018,0,1,0,0,0,1,5367,0.016949153,0.080205811,0,0,0.062305296,0,0.049844237,0,0.007133421,0,0,0,0.110303831,0.062305296,0,0,0.229326288,0,0,0,0.120343461,0.049844237,0,8.58634605,0.185424657,0.8553679,0.001678322,Periurban,26.00226761,47.78864947
146995,2018,0,1,0,0,0,1,3136,0.019507187,0.042607803,0,0,0.05785124,0,0,0,0.014981273,0,0,0,0.080524345,0.05785124,0,0,0.222846442,0,0,0,0.071161049,0,0,8.070906089,0.433501892,-0.020957641,-0.020202707,Periurban,26.05760869,47.89872455
147036,2018,0,1,0,0,0,1,3843,0.019717102,0.038148307,0,0,0.022222222,0,0.177777778,0,0,0,0,0,0.034650456,0.022222222,0,0,0,0,0,0,0.525835866,0.177777778,0,8.233237501,0.161186855,0.359438503,0.02077109,Periurban,25.76634291,47.92570872
147054,2018,0,0,1,0,0,1,4158,0.015625,0.08203125,0,0,0.004,0,0.54,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0.54,8.319229939,-0.055696446,1.239250585,0.01355953,Village,26.27933884,47.36101482
147072,2018,0,0,1,0,0,1,4735,0.019197208,0.055497382,0,0,0.051401869,0,0.425233645,0,0,0,0,0,0,0,0.051401869,0,0,0,0,0,0,0,0.425233645,8.479075869,0.05815705,0.450901896,-0.016338864,Village,26.30105063,47.3384331
147134,2018,0,0,1,0,0,1,7858,0.012362031,0.273068433,0.001324503,0,0.023094688,0,0.071593533,0,0,0,0,0,0,0,0.023094688,0,0,0,0,0,0,0,0.071593533,8.906257878,0.919446841,1.140725271,0.063029522,Village,26.30647222,47.57545681
147161,2018,0,1,0,0,0,1,2597,0.015209125,0.053231939,0,0,0.018518519,0,0,0,0,0,0,0,0.052123552,0.018518519,0,0,0,0,0,0,0.088803089,0,0,7.883446354,1.18160186,1.132218903,-0.021334142,Periurban,25.93105813,47.68561928
147205,2018,0,0,1,0,0,1,1567,0.028248588,0.030508475,0,0,0.038461538,0,0.019230769,0,0,0,0,0,0,0,0.038461538,0,0,0,0,0,0,0,0.019230769,7.422373701,-0.122680658,0.963642565,-0.065455459,Village,25.30426393,47.64174522
147241,2018,0,0,1,0,0,1,3914,0.023880597,0.118550107,0,0,0.017964072,0,0.422155689,0,0,0,0,0,0,0,0.017964072,0,0,0,0,0,0,0,0.422155689,8.30028019,0.467992898,0.543848751,-0.027965042,Village,25.39226432,47.85197806
