SIRUTA,LN_Pop2018_Pop2011,PopAdj,Pop2011Offset,EmpPublic,EmpLocal,EmpForeign,EmpForeign_BusinessServices,EmpLocal_BusinessServices,EmpForeign_Manufacturing,EmpLocal_Manufacturing,EmpForeign_BusServ_Core,EmpForeign_BusServ_CoreofPeri,EmpForeign_BusServ_Periurban,EmpForeign_BusServ_Village,EmpLocal_BusServ_Core,EmpLocal_BusServ_CoreofPeri,EmpLocal_BusServ_Periurban,EmpLocal_BusServ_Village,EmpForeign_Man_Core,EmpForeign_Man_CoreofPeri,EmpForeign_Man_Periurban,EmpForeign_Man_Village,EmpLocal_Man_Core,EmpLocal_Man_CoreofPeri,EmpLocal_Man_Periurban,EmpLocal_Man_Village,D_PIT_USDdef,D_Turnover_USDdef
100148,-0.043243863,4322,8.4147174,0.029137529,0.030691531,0.06993007,0.023952096,0.017964072,0.479041916,0.008982036,0,0,0,0.023952096,0,0,0,0.017964072,0,0,0,0.479041916,0,0,0,0.008982036,0.302818658,1.223849362
100219,0.089427421,8288,8.933136544,0.018425093,0.015134898,0,0,0.071895425,0,0.098039216,0,0,0,0,0,0,0,0.071895425,0,0,0,0,0,0,0,0.098039216,0.719905337,0.906712319
100273,0.004951867,3644,8.195885391,0.017809439,0.04096171,0,0,0.348484848,0,0.015151515,0,0,0,0,0,0,0,0.348484848,0,0,0,0,0,0,0,0.015151515,0.359992296,3.253118197
100282,-0.043992975,1801,7.54009032,0.020618557,0.012183693,0,0,0.057142857,0,0,0,0,0,0,0,0,0,0.057142857,0,0,0,0,0,0,0,0,0.864738151,0
100308,-0.03259741,1509,7.351799869,0.029115342,0,0,0,0,0,0,0,0,0,0,0,0.058096415,0,0,0,0.055624227,0,0,0,0.00618047,0,0,0.116185248,0
100317,-0.006647698,2099,7.655864018,0.029959514,0.006477733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.927164356,0
100326,0.065404016,2543,7.77569575,0.019833653,0.02431222,0,0,0.028985507,0,0.304347826,0,0.001231696,0,0,0,0.078965376,0.028985507,0,0,0.143013549,0,0,0,0.301354865,0.304347826,0,1.175532813,0
100335,-0.049515065,3349,8.165932137,0.011235955,0.142322097,0,0,0,0,0.725609756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.725609756,0.518392868,0.432289688
100344,0.028573372,1562,7.325148958,0.027334852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.420027035,0
100353,0.549869561,8296,8.473659189,0.008681786,0.268072289,0.008681786,0,0.271260087,0.024208566,0.097454997,0,0.106663362,0,0,0,0.163828645,0.271260087,0,0,0.063113975,0.024208566,0,0,0.098979634,0.097454997,0,0.588432409,3.904002557
100362,-0.006982572,1998,7.606884531,0.022807018,0.014035088,0,0,0,0,0.047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047619048,0.20865548,0
100521,-0.062519907,67317,11.17968799,0.037513087,0.191753358,0.064355884,0.008193612,0.151050755,0.096806009,0.113648433,0.008193612,0,0,0,0.151050755,0,0,0,0.096806009,0,0,0,0.113648433,0,0,0,0.085983,0.990784436
100549,-0.037851449,2333,7.792761721,0.022695035,0.041134752,0.025531915,0,0.023809524,0,0.015873016,0,0.008193612,0,0,0,0.151050755,0.023809524,0,0,0.096806009,0,0,0,0.113648433,0.015873016,0,1.777001501,0.359457399
100576,0.047856897,22384,9.9682448,0.043022539,0.293964513,0.278824416,0.009789743,0.141061297,0.124819223,0.111469574,0.009789743,0,0,0,0.141061297,0,0,0,0.124819223,0,0,0,0.111469574,0,0,0,0.215050277,1.220124212
100610,-0.067470506,27522,10.29021147,0.032526304,0.197816495,0.043726666,0.009700722,0.088544892,0.107120743,0.182043344,0.009700722,0,0,0,0.088544892,0,0,0,0.107120743,0,0,0,0.182043344,0,0,0,0.02401506,0.26835766
